Date(UTC),Transaction Fee,Average Gas Used,Chaindata Size,Blocktime,Address Growth,Price (USD),Ether Supply,Hashrate,Average Gas Limit,Average Gas Price,Ether Supply Growth,Block Reward,Block Difficulty,Block Size,Transactions,Uncle Count
7/30/2015,0,0,2909592,4.46,9205,0.0,39316.09375,23.7569,0,0,72049306.59375,6912,0.121,644,8893,1299
7/31/2015,0,0,2909592,12.58,9361,0.0,36191.71875,48.1584,0,0,72085498.3125,6863,0.603,582,0,511
8/1/2015,0,0,2909592,16.34,9476,0.0,27705.9375,55.2709,0,0,72113204.25,5293,0.887,575,0,334
8/2/2015,0,0,2909592,16.12,9563,0.0,28223.4375,64.1779,0,0,72141427.6875,5358,1.02,581,0,394
8/3/2015,0,0,2909592,16.37,9639,0.0,27976.71875,69.8559,0,0,72169404.40625,5280,1.126,587,0,443
8/4/2015,0,0,2909592,16.1,9696,0.0,28478.4375,76.6115,0,0,72197882.84375,5368,1.217,587,0,458
8/5/2015,0,0,2909592,16.51,9749,0.0,27528.59375,81.9449,0,0,72225411.4375,5235,1.328,579,0,371
8/6/2015,0,0,2909592,16.89,9790,0.0,27075.46875,82.9366,0,0,72252486.90625,5116,1.381,584,0,411
8/7/2015,37318413511279304835,49353826,2909592,16.65,10314,3.0,27437.65625,89.6063,122980,604684154870,72279924.5625,5189,1.4709999999999999,633,2050,409
8/8/2015,68099970071856826797,376006093,2909592,16.44,10730,1.2,27943.4375,97.6083,1940277,322713574989,72307868.0,5256,1.5859999999999999,668,2881,458
8/9/2015,14098949703205590944,38863003,2909592,16.86,11004,1.2,27178.28125,102.5407,3141325,475467129048,72335046.28125,5123,1.709,618,1329,421
8/10/2015,31165144438378735884,74070061,2909592,16.44,11679,0.0,27817.34375,113.1109,3141511,421654904254,72362863.625,5255,1.838,631,2037,415
8/11/2015,11311448586019755030,163481740,2909592,16.37,13576,0.99,28027.8125,126.6631,3141521,77838819162,72390891.4375,5280,2.036,692,4963,438
8/12/2015,32586992404377741650,70102332,2909592,16.86,13913,1.29,27370.9375,132.7661,3141555,444902379011,72418262.375,5124,2.207,653,2036,474
8/13/2015,24929169109943118841,88234087,2909592,16.34,14459,1.88,28268.125,144.8995,3141552,268683475202,72446530.5,5286,2.3369999999999997,666,2842,504
8/14/2015,14354834112827458118,78746522,2909592,14.88,15024,1.79,31106.71875,183.5527,3141575,193455494453,72477637.21875,5809,2.6710000000000003,660,3174,555
8/15/2015,8836593028046850811,59565914,2909592,16.04,15407,1.79,28512.65625,213.9622,3141584,144368937208,72506149.875,5382,3.378,638,2284,441
8/17/2015,7642811839634956979,60515132,2909592,16.16,15693,1.3,28118.90625,245.4865,3141589,132149993345,72534268.78125,5347,3.908,635,2512,377
8/16/2015,6677237924905556046,58241191,2909592,16.84,15984,1.37,27094.53125,220.8548,3141581,120940093311,72561363.3125,5132,3.6319999999999997,641,2440,385
8/18/2015,11906071340176042601,66816413,2909592,17.46,16268,1.36,26162.8125,253.7123,3141585,146513014268,72587526.125,4948,4.378,648,2494,390
8/19/2015,15430950669480218002,91746712,2909592,16.64,16553,1.24,27282.03125,269.2527,3141611,194583349948,72614808.15625,5192,4.42,653,3246,361
8/20/2015,6855566942706630722,63112713,2909592,21.47,16773,1.52,21057.03125,252.3917,3141608,99011782801,72635865.1875,4024,4.468999999999999,650,2303,257
8/21/2015,7855041724705318491,106379973,2909592,16.98,17070,1.44,26690.9375,263.4014,3141620,79543407701,72662556.125,5088,4.415,668,3919,338
8/22/2015,42547171829582457556,90744195,229284566,16.39,17313,1.4,27550.46875,298.2545,3141669,552841333007,72690106.59375,5271,4.828,648,3579,323
8/23/2015,8049767672901801716,117802449,455659541,17.24,17662,1.35,26255.625,303.082,3141828,73439482806,72716362.21875,5013,5.138,681,4190,320
8/24/2015,8876285419798610754,97648912,455659541,16.67,17839,1.24,27333.28125,314.6624,3141762,92409814705,72743695.5,5184,5.178999999999999,673,4432,377
8/25/2015,8259755825110535782,114480057,455659541,16.95,18089,1.27,26736.09375,309.2154,3141658,76432335617,72770431.59375,5097,5.172999999999999,680,4487,335
8/26/2015,7447729278556984663,99511209,455659541,17.27,18298,1.18,26137.96875,327.8673,3141656,60481160549,72796569.5625,5003,5.587000000000001,669,4156,303
8/27/2015,8670963042887940562,147888097,455659541,18.35,18508,1.14,24532.8125,327.6196,3141738,59307091958,72821102.375,4708,5.925,708,5590,266
8/28/2015,9925148370505206658,111903559,455659541,18.57,18687,1.3,24225.15625,340.1254,3141816,92879907335,72845327.53125,4653,6.251,691,4758,257
8/29/2015,5507451526061552074,99107570,455659541,19.93,18815,1.18,22525.0,339.3919,3141640,56211090684,72867852.53125,4329,6.6579999999999995,682,4139,232
8/30/2015,5634173742432616856,102643603,455659541,20.77,19017,1.32,21453.59375,332.4474,3141760,55155494457,72889306.125,4155,6.781000000000001,689,4572,179
8/31/2015,7424533814378986634,129040364,455659541,20.87,19168,1.31,21293.4375,351.2291,3141670,58423521569,72910599.5625,4122,7.2139999999999995,731,5196,182
9/1/2015,7843769855894396934,140186844,455659541,21.86,19349,1.36,20342.96875,354.1181,3142022,56671549652,72930942.53125,3938,7.641,741,5153,171
9/2/2015,8153735331051015790,139367393,455659541,24.12,19500,1.14,18387.34375,349.6263,3141705,59243651401,72949329.875,3577,8.283999999999999,766,5195,135
9/3/2015,6970025674099678731,126323875,455659541,25.53,19646,1.23,17380.9375,331.5756,3141915,55051483461,72966710.8125,3383,8.355,755,4777,126
9/4/2015,9733856361469302860,167169621,455659541,19.3,19791,1.35,23081.875,340.3879,3141831,58779015464,72989792.6875,4443,6.47,762,5642,232
9/5/2015,9141228323603367680,159443421,455659541,17.48,19955,1.37,25629.0625,361.5994,3141859,54768144366,73015421.75,4921,6.235,753,5519,274
9/6/2015,8055487734515995632,142769611,455659541,17.19,20081,1.34,26168.28125,371.3126,3141785,55089818552,73041590.03125,4978,6.305,733,5521,345
9/7/2015,9256422395866533683,170954165,617301971,17.77,20308,1.28,25460.46875,360.9598,3141753,53594260637,73067050.5,4834,6.3389999999999995,753,5702,343
9/8/2015,10379926302044415805,159613715,778944402,17.46,20433,1.26,25892.5,352.7229,3141945,64932639811,73092943.0,4923,6.077000000000001,759,5622,348
9/9/2015,9840601069163061227,173606036,778944402,17.12,20609,1.21,26427.65625,368.0392,3141686,53779997784,73119370.65625,5035,6.202000000000001,765,5604,345
9/10/2015,7925807170796993218,141533806,778944402,17.18,20711,1.19,26444.21875,371.1206,3141856,54630657670,73145814.875,5003,6.29,730,5341,383
9/11/2015,8876728152679961379,160019709,778944402,16.71,20897,0.92,27239.84375,397.2576,3141709,55713802958,73173054.71875,5141,6.562,736,6460,411
9/12/2015,11354833193505237873,186314190,778944402,17.11,21043,1.15,26401.09375,405.6008,3141607,61830202468,73199455.8125,5026,6.832999999999999,761,5596,339
9/13/2015,9578725673919106360,177583552,778944402,17.25,21252,0.89,26171.40625,412.3321,3141606,52313524792,73225627.21875,4971,7.022,764,6057,353
9/14/2015,9901548419395161346,171636301,778944402,17.61,21409,0.96,25588.125,380.4038,3141838,53772389657,73251215.34375,4851,6.626,771,5572,360
9/15/2015,8426997145283307063,148568242,778944402,17.75,21581,0.95,25615.3125,366.6357,3141800,53191101494,73276830.65625,4842,6.419,755,5409,378
9/16/2015,15146617077844793236,146153300,778944402,17.32,21719,0.94,26318.125,362.0796,3141820,111518559318,73303148.78125,4956,6.178999999999999,739,5872,412
9/17/2015,8556523791455505710,147106346,778944402,17.91,21826,0.88,25435.625,342.0493,3141794,55637920883,73328584.40625,4808,6.04,753,5368,372
9/18/2015,11834821066198469252,212949263,778944402,17.57,21999,0.85,25901.71875,326.1315,3141637,55703151966,73354486.125,4889,5.653,785,5802,403
9/19/2015,7982204372925467553,151038683,778944402,16.9,22106,0.89,27179.6875,332.9998,3141615,51639660974,73381665.8125,5078,5.547999999999999,735,5205,490
9/20/2015,10969645471755072320,206446103,778944402,16.04,22230,0.89,27982.65625,390.7766,3142039,52910345407,73409648.46875,5305,6.202000000000001,766,6402,389
9/21/2015,10180741940942933773,190902398,778944402,16.87,22363,0.94,26651.875,393.8171,3141982,51171380285,73436300.34375,5075,6.541,779,6305,340
9/22/2015,11404145175916603648,211491983,778944402,17.0,22496,0.81,26370.3125,395.4227,3141713,51465441496,73462670.65625,5051,6.624,807,6804,298
9/23/2015,10700267104792060772,198471252,1432574337,16.58,22648,0.91,27080.3125,422.5629,3141858,51732832046,73489750.96875,5165,6.895,784,7404,334
9/24/2015,10319506266501325064,183782502,1233418111,17.1,22783,0.8,26385.78125,417.591,3141870,54262646753,73516136.75,5021,7.029,782,6224,341
9/25/2015,9836594916126598067,178617418,1715991647,16.73,22902,0.68,27003.4375,421.4033,3141685,52300197415,73543140.1875,5126,6.977,767,5851,366
9/26/2015,9289146478621032364,160320021,1226008278,17.32,22964,0.77,25910.3125,423.4245,3141649,55315658061,73569050.5,4930,7.227,765,5907,338
9/27/2015,8423870450444848099,165754018,1226079951,17.92,23045,0.7,25011.09375,412.8378,3141739,51025979902,73594061.59375,4773,7.252999999999999,725,5760,307
9/28/2015,9272346609307110334,171799357,1221731096,18.02,23160,0.6,24714.21875,379.0354,3141657,52683661382,73618775.8125,4738,6.747000000000001,755,6123,275
9/29/2015,8877328420749419272,155322802,1221731096,18.51,23283,0.68,24368.4375,330.5963,3141780,55437141860,73643144.25,4640,6.057,762,5738,314
9/30/2015,8385327115721004019,161315703,1417274959,18.04,23385,0.71,25093.75,315.1845,3141889,51461473059,73668238.0,4757,5.625,742,5870,356
10/1/2015,8767949463445914933,167413168,1412085614,16.45,23482,0.65,27422.03125,347.9262,3141822,51474669294,73695660.03125,5210,5.653,741,6421,373
10/2/2015,9765296662850670640,175336965,1412086066,16.62,23563,0.66,26913.125,364.9391,3141782,52567714347,73722573.15625,5143,5.982,773,6063,324
10/3/2015,9791648364458627976,176738025,1412103486,16.84,23689,0.68,26453.75,378.3587,3141755,52502578427,73749026.90625,5077,6.291,769,6112,292
10/4/2015,9431925785897953000,175625589,1412103486,17.47,23777,0.61,25480.15625,360.3209,3141756,50733256095,73774507.0625,4886,6.206,776,6624,281
10/5/2015,11486773507230090791,217225401,1412103486,17.05,23909,0.61,26136.875,373.8427,3141678,50742818443,73800643.9375,5009,6.285,771,6279,292
10/6/2015,9995299953552863558,185466056,1412103486,17.67,24005,0.65,25036.5625,361.6866,3141827,51375494165,73825680.5,4806,6.276,781,6458,266
10/7/2015,12182989920710770554,227483136,1412103486,17.09,24102,0.6,26133.59375,354.5899,3141680,51181314265,73851814.09375,5004,5.984,808,7121,295
